artist,track
Leon Inc.,Microfibre (feat. JR827)
Lost Twin,Snake Snake
Iron and Wine,Song In Stone
Natasha Kmeto,Morning Sex
Moderat,Finder
HOME,Galatea
Moderat,The Fool
Shinamo Moki,Zeal
Sam Greens,Annuals (ft. Moon Bounce)
Tourists,To Have You Back
Tourists,For Sarah
Tourists,U
The Do,Bohemian Dances
Local Natives,Camera Talk
The Love Language,Brittany’s Back
Ratboys,Control
Casiokids,Golden Years
Stereolab,French Disko
National,The System Only Dreams in Total Darkness
S. Carey,Yellowstone
Faith Healer,Sterling Silver
Born Ruffians,Side Tracked
The Horrors,In And Out Of Sight
California Wives,Purple
Land Of Talk,Speak To Me Bones
Male Bonding,Tame the Sun
Delorean,Warmer Places
Nada Surf,Jules and Jim
The Range,Retune
Still Corners,The Trip
Loney Dear,Lillies
Wolf Alice,Heavenward
hearwater,A Long Time Away
Literature,Kites
Letting Up Despite Great Faults,Folding Under Stories Told
Generationalis,Spinoza
Courtney Barnett &,Fear Is Like A Forest
Kaki King,Sad American
RAC,No One Has to Know
Holy Ghost,Crime Cuts (Neon Indian)
Happy Abandon,Take Me
CSS,Into the Sun
Sick of Sarah,Overexposure
Snail Mail,Pristine
Born Ruffians,Forget Me
Born Ruffians,Needle
Tourist,Separate Ways
Essay,Lyla
Tree Bosier,Dead Leaves Prison
Hovvdy,Petal
Domestics,Love That Dress
Barclay Crenshaw,Sleepy Kids
Nada Surf,là pour çà
Kuna Maze,Sloppy Thing
Aesop Rock,None Shall Pass
Los Horizions,"Frenzy, Fear"
Gordi,Nothing is as it Seems
Kali King,Spit it Back in my Mouth
Carbon Handshake,Pulp Life
Saintseneca,Beast in the Garden
Dan Mangan,Mouthpeice
Fine China,The Light of Spring
Ásgeir,I know you Know
Basement Revolver,Johnny
The Essex Green,Don't Leave It In Our Hands
Andrew Bird,The Giant Of Illinois
Faith Healer,Sterling Silver
Kasbo,Snow In Gothenburg
The Beths,Happy Unhappy
MEUTE,You & Me (Flume Remix)
Tim and Adam,What Are We To Do
Jay Som,The Bus Song
Phoebe Bridgers,Motion Sickness
Loma,Joy
Eels,The Deconstruction
La Matos,Molly
The Beths,Future Me Hates Me
Rogue Wave,Ocean
Beach House,Drunk in LA
Opus Orange,Calm Down
Father John Misty,Disappointing Diamonds Are the Rarest of Them All
Big Thief,Shark Smile
Phoebe Bridgers,Scott Street
Amason,I Want To Know What Love Is
Parra for Cuva,Reality (feat.  Cornelia)
Parra For Cuva Ft. Other,Unfinished Colours
The Lemonheads,My drug buddy
Maribou State,Kingdom
Para for Cuva,Cupa Cupa
Maribou State,Kāma
Maribou State,Steal feat. Holly Walker
Scooterbabe,I Want to Write Your Name Across the Sky in Big Clumsy Strokes
Kate Nash,Do-Wah-Doo
Tame Impala,International Feel (Todd Rundgren)
Paula Cole,Where Have All The Cowboys Gone
Eagles,Desperado
Frightened Rabbit,Be Less Rude
Lisa LeBlanc,City Slickers and Country Boys
Bash and Pop,Breathing Room
Rasmus Faber & Metaxas,Be Real
Beach Skulls,Ain't Easy
Iceage,Pain Killer
Parquet Courts,Captive Of The Sun (Ft Bun B)
Viagra Boys,Sports
Her Space Holiday,My Girlfriend's Boyfriend
MUNYA,Des Bisous Partout
Still Corners,The Message
Portastic,"It's All Over Now, Baby Blue"
Kooks,Melody Maker
Roosevelt,Pangea
Lindstrøm,Vōs-sākō-rv
Empire of the Sun,Awakening
