Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1XrSjpNe49IiygZfzb74pk,"77mJc3M7ZT5oOVM7gNdXim","What Once Was","Songs of Her's","Her's",2017-05-12,255067,77,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:29:35Z,"indie pop,liverpool indie,pov: indie",0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,3
5XFG8dOCdD8sycracD1yVQ,"3pxr1Jwk1xDJXAmfzHQFy4","Collide and Conquer","Right Arm","Grey Lands",2015-09-11,235797,0,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:30:13Z,"",0.239,0.575,7,-12.715,1,0.0318,0.00205,0.702,0.126,0.32,152.43,4
3uAChTQwYHuTpoOvbvb6r5,"2JFTRDi5v7JtqoouVe1z5D","Channel 2","Moveys","Slow Pulp",2020-10-09,145607,45,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:30:18Z,"bubblegrunge,chicago indie,countrygaze,nu gaze",0.408,0.657,11,-6.155,0,0.0351,0.0117,0.226,0.252,0.743,79.892,4
2LSIAfZsNWNXEqBTQF4qv3,"0e0z6v7dIm0XM7BgQTtB0a","What I Am","When You Walk Away","FUR",2021-11-05,153933,32,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:30:23Z,"brighton indie",0.4,0.725,4,-5.64,1,0.0281,0.0405,0.0167,0.483,0.837,149.989,3
3MlWMA6GuecplhQ1UBl65o,"6NrkINd80slV25wkBu9mEB","Oscillation","Indigo","Wild Nothing",2018-08-31,230946,31,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:30:28Z,"chamber pop,chillwave,dream pop,indie rock,indie surf,modern dream pop,neo-synthpop,noise pop,nu gaze,shimmer pop,shoegaze",0.459,0.816,1,-5.751,1,0.0353,0.00319,0.000213,0.165,0.333,130.85,4
26T3ZP2U44ZQHVcFzMAdT8,"4aEnNH9PuU1HF3TsZTru54","Silver","Our Love","Caribou",2014-10-07,316653,43,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:30:39Z,"alternative dance,art pop,electronica,folktronica,indietronica,intelligent dance music,trip hop",0.61,0.607,4,-8.638,1,0.0399,0.142,0.167,0.104,0.665,80.011,4
0ANOK8C8kRTR5AKjW3G62V,"7vtSUU3zpHeYJfX6BPNrJd","Bottle Rocket","Sunflower","Briston Maroney",2021-04-09,190360,40,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:30:51Z,"nashville indie,pov: indie",0.583,0.931,11,-4.975,0,0.125,0.0174,0.0000036,0.405,0.319,127.034,4
7oChm7YC5PS1NvEkRCgswG,"4uSftVc3FPWe6RJuMZNEe9","Manifest","My Finest Work Yet","Andrew Bird",2019-03-22,317413,55,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:30:58Z,"baroque pop,chamber pop,chicago indie,indie rock,melancholia,stomp and holler",0.631,0.619,0,-6.403,0,0.025,0.321,0,0.0658,0.417,100.258,4
2CwaVRZUT5AzcUbmxv5fNC,"2S11VlKvbvSKyyb7Wk4YP1","Most of All","Most of All","Oracle Sisters",2020-04-22,220796,0,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:31:06Z,"",0.563,0.623,5,-7.765,1,0.028,0.222,0.0138,0.165,0.733,162.098,4
4jDv9uNIKTL3uFzhwDZoHs,"15qL2oIvXdTLPUiZZypsvi","Life Less True","Clutching Stems","The Ladybug Transistor",2011-06-07,292053,2,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T02:14:33Z,"elephant 6,tape club",0.411,0.767,9,-7.4,1,0.0274,0.138,0.729,0.299,0.636,141.515,4
747CjXxSPYzK6z2eu6G0FH,"4jJwthCJP4Siy4LfybLlIl","Goldrush","Animalore","Via Audio",2010-03-09,226586,2,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-09T01:31:19Z,"",0.833,0.636,3,-6.436,0,0.0816,0.034,0.00000968,0.115,0.762,125.161,4
